init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,265,267,261,261,262,264,261,260,266,257,256,260,260,259,262,8,10,11,10,9,9,12,10,9,11,11,10,11,11,11,264,272,265,257,264,266,260,263,270,251,,,,,
2026-07-14,269,266,267,261,260,255,254,258,266,258,255,259,260,260,260,8,7,8,9,10,11,9,10,10,12,11,10,12,12,12,271,269,265,267,259,255,250,251,261,254,,,,,
2026-07-15,268,260,265,265,257,257,260,266,261,256,263,260,257,260,261,5,7,9,9,9,9,11,9,11,10,9,10,11,11,11,268,257,264,271,247,252,269,270,264,267,,,,,
2026-07-16,261,264,265,259,260,259,264,265,260,261,261,259,262,261,261,7,10,8,10,9,10,10,10,11,10,12,11,11,10,11,261,269,254,251,266,252,257,265,267,264,,,,,
2026-07-18,266,258,258,260,264,255,256,261,262,257,263,261,258,258,260,8,11,9,9,11,11,11,10,11,10,9,11,12,12,11,267,255,250,264,270,259,260,270,265,247,,,,,
2026-07-19,268,259,262,266,255,256,261,261,257,258,261,259,259,258,258,6,8,9,9,11,10,10,11,11,11,10,11,11,12,11,269,252,262,264,258,256,262,254,252,242,,,,,
2026-07-20,253,258,269,258,254,267,260,257,265,262,261,262,262,255,258,8,9,6,10,10,8,12,12,10,11,10,10,11,12,12,247,257,268,250,256,269,250,256,265,257,,,,,
2026-07-21,254,270,257,258,266,263,256,264,262,257,261,262,260,262,263,8,6,8,9,9,12,11,10,10,11,11,11,10,11,11,253,271,263,264,268,246,246,269,270,252,,,,,
2026-07-22,271,261,259,266,262,254,261,261,260,262,261,259,262,263,264,4,7,9,9,11,10,9,10,10,10,12,13,10,11,11,272,260,260,265,260,245,254,265,257,254,,,,,
2026-07-23,256,257,264,256,252,257,260,260,266,265,264,265,266,266,264,8,9,8,10,10,10,11,10,10,9,10,10,9,10,11,259,255,261,259,250,259,265,257,271,272,,,,,
