init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,274,263,256,258,259,256,253,256,265,263,258,260,263,263,260,9,6,7,6,7,7,9,9,10,10,8,8,9,9,8,275,259,258,258,258,260,252,254,259,265,,,,,
2026-07-14,274,273,267,270,263,259,260,258,255,256,257,264,262,260,259,6,9,8,8,7,6,6,7,8,9,10,9,10,8,9,278,277,265,272,265,258,260,257,255,250,,,,,
2026-07-15,276,272,270,264,259,259,259,256,254,256,263,261,259,260,262,9,8,8,6,6,7,7,7,9,10,10,9,9,8,9,282,268,265,263,258,260,259,256,250,257,,,,,
2026-07-16,272,271,264,259,260,259,256,253,257,264,262,260,259,263,263,8,8,7,7,7,7,8,9,10,10,8,8,8,10,11,269,270,264,259,260,261,258,251,256,256,,,,,
2026-07-18,266,256,257,260,255,251,254,264,265,259,261,264,263,261,261,8,8,7,7,8,8,8,10,10,8,9,9,9,8,8,265,256,256,260,258,254,253,262,267,256,,,,,
2026-07-19,256,256,260,255,254,257,263,262,258,261,263,263,262,262,262,6,8,7,8,8,8,8,9,8,8,10,9,7,8,8,255,254,259,253,255,254,254,258,258,252,,,,,
2026-07-20,257,263,255,255,258,263,259,255,261,268,265,261,262,263,263,7,6,7,8,8,8,7,8,8,9,9,8,8,9,8,258,261,256,250,251,256,257,256,260,272,,,,,
2026-07-21,266,260,254,257,261,259,257,263,268,265,262,263,263,263,262,6,8,7,7,7,8,7,9,11,10,8,8,9,9,9,263,256,247,256,258,258,254,263,271,266,,,,,
2026-07-22,259,252,257,263,260,256,263,267,264,262,262,264,264,263,262,8,7,7,8,8,8,7,9,9,7,8,9,9,8,9,258,250,255,259,256,252,262,270,263,267,,,,,
2026-07-23,255,259,263,260,255,264,268,263,262,264,266,265,263,263,262,7,7,7,7,8,10,10,8,7,9,10,9,8,8,9,256,252,261,259,254,264,275,266,264,265,,,,,
